gbifID;datasetKey;occurrenceID;kingdom;phylum;class;order;family;genus;species;infraspecificEpithet;taxonRank;scientificName;verbatimScientificName;verbatimScientificNameAuthorship;countryCode;locality;stateProvince;occurrenceStatus;individualCount;publishingOrgKey;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;elevation;elevationAccuracy;depth;depthAccuracy;eventDate;day;month;year;taxonKey;speciesKey;basisOfRecord;institutionCode;collectionCode;catalogNumber;recordNumber;identifiedBy;dateIdentified;license;rightsHolder;recordedBy;typeStatus;establishmentMeans;lastInterpreted;mediaType;issue
3109321633;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/75006888;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;;SPECIES;Puma concolor (Linnaeus, 1771);Puma concolor;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;44.908995;-122.510046;27253;;;;;;2019-10-17T04:17:00;17;10;2019;2435099;2435099;HUMAN_OBSERVATION;iNaturalist;Observations;75006888;;HonanauFarm;2021-04-24T04:11:43;CC0_1_0;HonanauFarm;HonanauFarm;;;2021-05-09T22:37:12.833Z;StillImage;COORDINATE_ROUNDED
3109313661;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/75006883;Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;Lynx rufus;fasciatus;SUBSPECIES;Lynx rufus fasciatus Rafinesque, 1817;Lynx rufus fasciatus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;44.802658;-122.568603;27253;;;;;;2019-10-14T20:39:00;14;10;2019;6164663;2435246;HUMAN_OBSERVATION;iNaturalist;Observations;75006883;;;;CC0_1_0;HonanauFarm;HonanauFarm;;;2021-05-09T22:37:57.486Z;StillImage;COORDINATE_ROUNDED
3109310639;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/75006889;Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;Lynx rufus;fasciatus;SUBSPECIES;Lynx rufus fasciatus Rafinesque, 1817;Lynx rufus fasciatus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;44.803985;-122.593507;27253;;;;;;2019-10-18T00:47:00;18;10;2019;6164663;2435246;HUMAN_OBSERVATION;iNaturalist;Observations;75006889;;;;CC0_1_0;HonanauFarm;HonanauFarm;;;2021-05-09T22:59:25.770Z;StillImage;COORDINATE_ROUNDED
3109307622;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/75006884;Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;Lynx rufus;fasciatus;SUBSPECIES;Lynx rufus fasciatus Rafinesque, 1817;Lynx rufus fasciatus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;44.811768;-122.41896;27253;;;;;;2019-10-05T03:52:00;5;10;2019;6164663;2435246;HUMAN_OBSERVATION;iNaturalist;Observations;75006884;;;;CC0_1_0;HonanauFarm;HonanauFarm;;;2021-05-09T23:00:40.645Z;StillImage;COORDINATE_ROUNDED
3109207444;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/66942604;Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;Lynx rufus;;SPECIES;Lynx rufus (Schreber, 1777);Lynx rufus;;US;;California;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;41.267933;-121.798011;10;;;;;;2020-12-22T14:09:00;22;12;2020;2435246;2435246;HUMAN_OBSERVATION;iNaturalist;Observations;66942604;;Tyanna Schlom Blaschak;2020-12-23T00:53:50;CC_BY_NC_4_0;Tyanna Schlom Blaschak;Tyanna Schlom Blaschak;;;2021-05-09T22:34:18.766Z;StillImage;COORDINATE_ROUNDED
3097161545;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/72970798;Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;Lynx rufus;;SPECIES;Lynx rufus (Schreber, 1777);Lynx rufus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;45.738019;-123.944008;165;;;;;;2020-11-05T15:30:00;5;11;2020;2435246;2435246;HUMAN_OBSERVATION;iNaturalist;Observations;72970798;;lissinha;2021-04-05T02:32:27;CC_BY_NC_4_0;lissinha;lissinha;;;2021-05-09T23:16:32.771Z;StillImage;COORDINATE_ROUNDED
3097061109;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/74459989;Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;Felis catus;;SPECIES;Felis catus Linnaeus, 1758;Felis catus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;44.516758;-122.913659;1;;;;;;2021-04-16T10:49:00;16;4;2021;2435035;2435035;HUMAN_OBSERVATION;iNaturalist;Observations;74459989;;Sarah Munk;2021-04-19T00:10:17;CC_BY_NC_4_0;Sarah Munk;Sarah Munk;;;2021-05-09T22:56:45.650Z;StillImage;COORDINATE_ROUNDED
3090914709;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/73865482;Animalia;Chordata;Mammalia;Carnivora;Felidae;Puma;Puma concolor;;SPECIES;Puma concolor (Linnaeus, 1771);Puma concolor;;US;;Washington;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;46.129798;-122.01925;781;;;;;;2021-04-11T13:32:15;11;4;2021;2435099;2435099;HUMAN_OBSERVATION;iNaturalist;Observations;73865482;;joseph1992;2021-04-13T18:43:44;CC_BY_NC_4_0;joseph1992;joseph1992;;;2021-05-09T22:35:28.840Z;StillImage;COORDINATE_ROUNDED
3090684405;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/73622793;Animalia;Chordata;Mammalia;Carnivora;Felidae;Felis;Felis catus;;SPECIES;Felis catus Linnaeus, 1758;Felis catus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;44.599157;-123.266536;2;;;;;;2021-04-10T17:53:00;10;4;2021;2435035;2435035;HUMAN_OBSERVATION;iNaturalist;Observations;73622793;;Barbara L. Wilson;2021-04-11T15:20:18;CC_BY_NC_4_0;Barbara L. Wilson;Barbara L. Wilson;;;2021-05-09T22:35:43.829Z;StillImage;COORDINATE_ROUNDED
3090626691;50c9509d-22c7-4a22-a47d-8c48425ef4a7;https://www.inaturalist.org/observations/46628148;Animalia;Chordata;Mammalia;Carnivora;Felidae;Lynx;Lynx rufus;;SPECIES;Lynx rufus (Schreber, 1777);Lynx rufus;;US;;Oregon;PRESENT;;28eb1a3f-1c15-4a95-931a-4af90ecb574d;42.199345;-120.216217;4;;;;;;2020-05-20T10:43:21;20;5;2020;2435246;2435246;HUMAN_OBSERVATION;iNaturalist;Observations;46628148;;Stephanie Stragier;2020-05-20T18:15:11;CC_BY_NC_4_0;Stephanie Stragier;Stephanie Stragier;;;2021-05-09T23:15:48.812Z;StillImage;COORDINATE_ROUNDED
